Date,Stocks,Anomalies,Anomaly_Breadth,Negative_Anomalies,Positive_Anomalies
2018-01-09,47,0,0.0,0,0
2018-01-10,47,0,0.0,0,0
2018-01-11,47,0,0.0,0,0
2018-01-12,47,0,0.0,0,0
2018-01-15,47,0,0.0,0,0
2018-01-16,47,0,0.0,0,0
2018-01-17,47,0,0.0,0,0
2018-01-18,47,0,0.0,0,0
2018-01-19,47,0,0.0,0,0
2018-01-22,47,0,0.0,0,0
2018-01-23,47,0,0.0,0,0
2018-01-24,47,0,0.0,0,0
2018-01-25,47,0,0.0,0,0
2018-01-29,47,0,0.0,0,0
2018-01-30,47,0,0.0,0,0
2018-01-31,47,0,0.0,0,0
2018-02-01,47,0,0.0,0,0
2018-02-02,47,0,0.0,0,0
2018-02-05,47,0,0.0,0,0
2018-02-06,47,0,0.0,0,0
2018-02-07,47,0,0.0,0,0
2018-02-08,47,1,0.02127659574468085,0,1
2018-02-09,47,0,0.0,0,0
2018-02-12,47,0,0.0,0,0
2018-02-14,47,0,0.0,0,0
2018-02-15,47,0,0.0,0,0
2018-02-16,47,0,0.0,0,0
2018-02-19,47,0,0.0,0,0
2018-02-20,47,0,0.0,0,0
2018-02-21,47,0,0.0,0,0
2018-02-22,47,0,0.0,0,0
2018-02-23,47,0,0.0,0,0
2018-02-26,47,0,0.0,0,0
2018-02-27,47,0,0.0,0,0
2018-02-28,47,0,0.0,0,0
2018-03-01,47,0,0.0,0,0
2018-03-05,47,0,0.0,0,0
2018-03-06,47,0,0.0,0,0
2018-03-07,47,0,0.0,0,0
2018-03-08,47,0,0.0,0,0
2018-03-09,47,0,0.0,0,0
2018-03-12,47,0,0.0,0,0
2018-03-13,47,1,0.02127659574468085,1,0
2018-03-14,47,0,0.0,0,0
2018-03-15,47,0,0.0,0,0
2018-03-16,47,0,0.0,0,0
2018-03-19,47,0,0.0,0,0
2018-03-20,47,0,0.0,0,0
2018-03-21,47,0,0.0,0,0
2018-03-22,47,0,0.0,0,0
2018-03-23,47,0,0.0,0,0
2018-03-26,47,0,0.0,0,0
2018-03-27,47,0,0.0,0,0
2018-03-28,47,1,0.02127659574468085,1,0
2018-04-02,47,0,0.0,0,0
2018-04-03,47,0,0.0,0,0
2018-04-04,47,0,0.0,0,0
2018-04-05,47,0,0.0,0,0
2018-04-06,47,0,0.0,0,0
2018-04-09,47,0,0.0,0,0
2018-04-10,47,0,0.0,0,0
2018-04-11,47,0,0.0,0,0
2018-04-12,47,0,0.0,0,0
2018-04-13,47,0,0.0,0,0
2018-04-16,47,0,0.0,0,0
2018-04-17,47,0,0.0,0,0
2018-04-18,47,0,0.0,0,0
2018-04-19,47,0,0.0,0,0
2018-04-20,47,0,0.0,0,0
2018-04-23,47,0,0.0,0,0
2018-04-24,47,0,0.0,0,0
2018-04-25,47,0,0.0,0,0
2018-04-26,47,0,0.0,0,0
2018-04-27,47,1,0.02127659574468085,0,1
2018-04-30,47,0,0.0,0,0
2018-05-02,47,0,0.0,0,0
2018-05-03,47,0,0.0,0,0
2018-05-04,47,0,0.0,0,0
2018-05-07,47,0,0.0,0,0
2018-05-08,47,0,0.0,0,0
2018-05-09,47,0,0.0,0,0
2018-05-10,47,0,0.0,0,0
2018-05-11,47,0,0.0,0,0
2018-05-14,47,0,0.0,0,0
2018-05-15,47,0,0.0,0,0
2018-05-16,47,0,0.0,0,0
2018-05-17,47,1,0.02127659574468085,0,1
2018-05-18,47,0,0.0,0,0
2018-05-21,47,0,0.0,0,0
2018-05-22,47,0,0.0,0,0
2018-05-23,47,0,0.0,0,0
2018-05-24,47,0,0.0,0,0
2018-05-25,47,0,0.0,0,0
2018-05-28,47,0,0.0,0,0
2018-05-29,47,0,0.0,0,0
2018-05-30,47,0,0.0,0,0
2018-05-31,47,2,0.0425531914893617,1,1
2018-06-01,47,0,0.0,0,0
2018-06-04,47,1,0.02127659574468085,1,0
2018-06-05,47,0,0.0,0,0
2018-06-06,47,0,0.0,0,0
2018-06-07,47,0,0.0,0,0
2018-06-08,47,0,0.0,0,0
2018-06-11,47,0,0.0,0,0
2018-06-12,47,0,0.0,0,0
2018-06-13,47,0,0.0,0,0
2018-06-14,47,0,0.0,0,0
2018-06-15,47,0,0.0,0,0
2018-06-18,47,0,0.0,0,0
2018-06-19,47,0,0.0,0,0
2018-06-20,47,0,0.0,0,0
2018-06-21,47,0,0.0,0,0
2018-06-22,47,0,0.0,0,0
2018-06-25,47,0,0.0,0,0
2018-06-26,47,0,0.0,0,0
2018-06-27,47,0,0.0,0,0
2018-06-28,47,0,0.0,0,0
2018-06-29,47,0,0.0,0,0
2018-07-02,47,0,0.0,0,0
2018-07-03,47,0,0.0,0,0
2018-07-04,47,0,0.0,0,0
2018-07-05,47,0,0.0,0,0
2018-07-06,47,0,0.0,0,0
2018-07-09,47,0,0.0,0,0
2018-07-10,47,0,0.0,0,0
2018-07-11,47,0,0.0,0,0
2018-07-12,47,0,0.0,0,0
2018-07-13,47,0,0.0,0,0
2018-07-16,47,0,0.0,0,0
2018-07-17,47,0,0.0,0,0
2018-07-18,47,0,0.0,0,0
2018-07-19,47,0,0.0,0,0
2018-07-20,47,1,0.02127659574468085,1,0
